circumstellar dust	circumstellar-dust
Planetary Nebula	planetary-nebulae
Space Observatory	space-observatories
optical observations	optical-observation
light curves	light-curves
Exobiology	exobiology
interstellar medium	interstellar-medium
Gamma-ray sources	gamma-ray-sources
Forbush effect	forbush-effect
Interstellar Molecules	interstellar-molecules
Weak gravitational lensing	weak-gravitational-lensing
gamma-ray sources	gamma-ray-sources
Sky surveys	sky-surveys
h-ii-regions	h-ii-regions
Light Curves	light-curves
NIST's Atomic Spectroscopy DB	atomic-spectroscopy
Minor Planets	minor-planets
magnetic field	magnetic-fields
galaxies: high-redshift	high-redshift-galaxies
Planetary nebulae	planetary-nebulae
BLACK HOLES	black-holes
Magnetohydrodynamics	magnetohydrodynamics
Dwarf elliptical galaxies	dwarf-elliptical-galaxies
megamasers	megamasers
Ultraviolet-excess galaxies	infrared-excess-galaxies
IAC Virtual Observatory	virtual-observatories
Interstellar extinction	interstellar-extinction
EPHEMERIDES	ephemerides
solar prominences	solar-prominences
star clusters	star-clusters
RADIO ASTRONOMY	radio-astronomy
METAL ABUNDANCE	elemental-abundance
Carbon Stars	carbon-stars
Brown Dwarf	brown-dwarfs
Hubble Space Telescope 1-D Spectra	hubble-space-telescope
Nova	novae
MAGNITUDES	magnitude
Open Clusters	star-star-clusters
andromeda-galaxy	andromeda-galaxy
infrared: galaxies	infrared-galaxies
Dark Matter	dark-matter
Solar energetic particles	solar-energetic-particles
Relativity	relativity
gamma ray burst	gamma-ray-bursts
UV Ceti star	uv-ceti-stars
RADIAL VELOCITY	radial-velocity
water maser	water-masers
Galactic structure	galaxy-structure
galactic evolution	galaxy-evolution
EXTRASOLAR PLANETS	exoplanets
Stellar Classification	stellar-classification
blazars	blazars
stellar evolution	stellar-evolution
collapsed stars	evolved-stars
space plasma	space-plasmas
extragalactic objects	extragalactic-astronomy
Early-type galaxies	early-type-galaxies
solar corona	solar-corona
Neptune	neptune
HII regions	h-ii-regions
spectrophotometry	spectrophotometry
galaxy cluster	galaxy-clusters
Galaxies: abundances	galaxy-abundances
ASTROMETRY	astrometry
Radio Continuum: General	radio-continuum-emission
nebulae	nebulae
Hubble Space Telescope Observations	hubble-space-telescope
supernovae	supernovae
Cosmic ray	cosmic-rays
Star Clusters	star-clusters
X RAY OBSERVATORIES	x-ray-observatories
MINOR PLANETS	minor-planets
Exoplanet Astronomy	exoplanet-astronomy
OSCULATORY ELEMENTS	osculatory-elements
Globular clusters	globular-star-clusters
infrared spectra	infrared-sources
submillimeter survey	submillimeter-astronomy
heliospheric	heliosphere
Polarimetry	polarimetry
large-scale structure of universe	large-scale-structure-of-the-universe
High energy astrophysics	high-energy-astrophysics
active galactic nuclei	active-galactic-nuclei
Flare star	flare-stars
ORBITS	orbits
Galaxy Colors	galaxy-colors
Hubble Space Telescope Images	hubble-space-telescope
Gravitational microlensing	gravitational-microlensing
SPECTROSCOPY	spectroscopy
SMALL MAGELLANIC CLOUD	small-magellanic-cloud
optical interferometry	optical-interferometry
Quasars	quasars
SPECTROSCOPIC BINARY STARS	spectroscopic-binary-stars
active galaxies	active-galaxies
Interacting Galaxies	interacting-galaxies
OSCULATING ORBITS	osculating-orbit
gravitational lenses	gravitational-lensing
binary stars	binary-stars
TRUE POSITIONS	true-position
Atmospheres	astrospheres
Gravitational lensing	gravitational-lensing
Gamma-ray astronomy	gamma-ray-astronomy
Spectropolarimetry	spectropolarimetry
PROPER MOTIONS	proper-motions
SATELLITE BORNE INSTRUMENTS	space-vehicle-instruments
Observatory	observatories
radio interferometry	radio-interferometry
Minor planet	minor-planets
Planetary Nebulae	planetary-nebulae
Radio Bursts	radio-bursts
interstellar-medium	interstellar-medium
brown dwarfs	brown-dwarfs
Astrochemistry	astrochemistry
Flare Time	flare-stars
Solar Sytem	solar-system
neutral hydrogen	neutral-hydrogen-clouds
Classification	classification
Galaxy Evolution	galaxy-evolution
Andromeda Galaxy	andromeda-galaxy
Infrared:galaxies	infrared-galaxies
Star Formation	star-formation
Ephemeral Active Regions	ephemeral-active-regions
solar physics	solar-physics
non-thermal radiation	non-thermal-radiation-sources
Globular Cluster	globular-star-clusters
Cosmic Rays	cosmic-rays
circumstellar disks	circumstellar-disks
Shocks	shocks
Exoplanet	exoplanets
EARTH ATMOSPHERE	earth-atmosphere
Solar Wind	solar-wind
Cosmic microwave background	cosmic-microwave-background-radiation
Magellanic cloud	magellanic-clouds
MilkyWayGalaxy	milky-way-galaxy
Thermosphere	thermosphere
globular clusters	globular-star-clusters
Stellar atmosphere	stellar-atmospheres
Galaxies: evolution	galaxy-evolution
Space Debris	space-debris
Extragalactic Variable Star	extrinsic-variable-stars
Perseus Cluster	perseus-cluster
extragalactic astrophysics	extragalactic-astronomy
Light curve	light-curves
radialVelocity	radial-velocity
galaxies: stellar content	galaxy-stellar-content
Gamma Rays	gamma-rays
Interstellar Absorption	interstellar-absorption
LARGE MAGELLANIC CLOUD	large-magellanic-cloud
Kapteyn selected area	kapteyn-selected-areas
Interstellar magnetic field	interstellar-magnetic-fields
Cosmological parameters	cosmological-parameters
ASTROMETRIC BINARY STARS	astrometric-binary-stars
Atmospheric effects	atmospheric-effects
PARALLAXES	parallax
Blazar	blazars
Dwarf Nova	dwarf-novae
Catalogues	catalogs
magnetic fields	magnetic-fields
STAR-FORMING REGIONS	star-forming-regions
X RAY ASTRONOMY	x-ray-astronomy
asteroids	asteroids
variable stars	variable-stars
ORBIT DETERMINATION	orbit-determination
Ground Based Astronomy	ground-based-astronomy
ACTIVE GALACTIC NUCLEI	active-galactic-nuclei
RadialVelocity	radial-velocity
Binary stars	binary-stars
galaxies: luminosity function	luminosity-function
Galaxy Clusters	galaxy-clusters
Stars	stellar-astronomy
Photometry:wide-band	broad-band-photometry
Velocities	radial-velocity
Stars:variable	variable-stars
Redshifts	redshifted
Abundances	chemical-abundances
Open_Clusters	open-star-clusters
Clusters_of_galaxies	galaxy-clusters
Planets+Asteroids	solar-system
QSOs	quasars
AGN	active-galactic-nuclei 
Equivalent_widths	line-intensities 
	ivoa:None
Atomic_Data	atomic-physics
Binaries:eclipsing	eclipsing-binary-stars
Positional_Data	astrometry
Models	theoretical-models
Survey Source	surveys
Spectral_Classification	stellar-classification
HII_regions	h-ii-regions
Masses	ivoa:tryAgain
YSOs	young-stellar-objects
Associations	stellar-associations
Stars:peculiar	peculiar-variable-stars
Binaries:spectroscopic	spectroscopic-binary-stars
BL_Lac_objects	bl-lacertae-objects
Photometry:intermediate-band	medium-band-photometry
Binaries:cataclysmic	cataclysmic-variable-stars
Photometry:narrow-band	narrow-band-photometry
Stars:white_dwarf	white-dwarf-stars
Sun	the-sun
Stars:Emission	emission-line-stars
Galaxy	galaxies
GRB	gamma-ray-bursts 
Stars:WR	wolf-rayet-stars
ADQL	virtual-observatories 
Obs_Log	ivoa:None
Authority	ivoa:None
Tutorials	astronomical-reference-materials
Registry	ivoa:None
Stars:brown_dwarf	brown-dwarfs
Molecular_Data	molecular-physics
Earth	earth-planet-
OpenSkyNode	ivoa:None
Infrared, survey, galaxy, point source	ivoa:None
Nonstellar	ivoa:None
Cluster of Galaxies	galaxy-clusters
Organization	ivoa:None
registry	ivoa:None
Spectrum	spectroscopy
Stars,Survey,Galaxy	ivoa:None
source catalog	catalogs
Optical Counterpart	optical-identification 
Gaia	ivoa:None
software standard	astronomy-software
Stars,Survey,Galaxy, low mass stars, dark energy	ivoa:None
Magnetosphere	planetary-magnetosphere
voevent	ivoa:None
TAP	ivoa:None
X-ray	ivoa:None
Aladin	ivoa:None
Compilation Source	ivoa:None
variability	variable-stars
DK154	ivoa:None
Simulation	astronomical-simulations 
Observational cosmology, galaxy, cluster, evolution, infrared	ivoa:None
Pointed observations	ivoa:None
Infrared, survey, galaxy, Marellanic Cloud	ivoa:None
solar	the-sun
Photographic plate	astrophotography
survey, galaxy, point source	ivoa:None
Quasars: general	quasars
UV	ultraviolet-astronomy 
objective prism	medium-band-photometry
Stars: Positions	astrometry
Redshift	redshifted
Education	ivoa:None
HELIO, ILS, instrument location	ivoa:None
Stars: AGB and post-AGB	asymptotic-giant-branch-stars
imaging	direct-imaging
aurora	ivoa:None
time series	time-series-analysis
VVDS	ivoa:None
solar cea	ivoa:None
Optical	optical-observation
Image	direct-imaging
Infrared, survey, Milky Way, bulge	ivoa:None
TOPCAT	ivoa:None
Hubble	hubble-space-telescope
Hot stars	ivoa:None
data access layer	ivoa:None
Milky Way	milky-way-galaxy
Transient	transient-sources
NOT PROVIDED	ivoa:None
Proposed Target	ivoa:None
DAL	ivoa:None
spectra	spectroscopy
Organisation	ivoa:None
coronal	solar-corona
Stars, Galaxies	ivoa:None
Galaxies: distance and redshift	galaxy-distances
galaxy classification	galaxy-classification-systems
Reference systems	astrometry
sun	the-sun
???	ivoa:None
SAMP	ivoa:None
outer galaxy	ivoa:None
Galaxies:spectra	galaxy-spectroscopy
Polarization	ivoa:TryAgain
Rotational_Velocities	ivoa:TryAgain
Diameters	ivoa:TryAgain
Masers	astrophysical-masers
Ages	ivoa:TryAgain
Star	ivoa:TryAgain
Observation	observational-astronomy
star	ivoa:TryAgain
Blue_objects	ivoa:TryAgain
Planets	ivoa:TryAgain
Images	direct-imaging
stars	ivoa:TryAgain
Planet	solar-system-planets
nearby galaxies	ivoa:TryAgain
XRB	x-ray-binary-stars
magnetosphere	planetary-magnetosphere
planet	solar-system-planet
extreme ultraviolet	ultraviolet-astronomy
euv	ultraviolet-astronomy
White Dwarf	white-dwarf-stars
Standards	ivoa:None
esdc_leads@sciops.esac.esa.int	ivoa:None
ATNF ASKAP Observations	ivoa:None
Aurora	aurorae
AXIS optical spectra	ivoa:None
corona	solar-corona
Extrasolar neutrino candidates	neutrino-astronomy
Data retrieval	ivoa:None
high redshift survey	high-redshift-galaxies
HELIO, ICS, instrument capabilities	ivoa:None
Neutrino	neutrino-astronomy
CDS image/cube HiPS service	ivoa:None
astrometric catalogue	astrometry
Galactic plane	galaxy-planes
web service	astronomy-web-services
ISON Survey	ivoa:None
infrared survey	infrared-astronomy
Stars:evolution	stellar-evolution
service, CEA, virtual observatory	ivoa:None
Spectra	spectroscopy
Digitised photographic optical all-sky photometric astrometric survey	ivoa:None
EPO	astronomy-education
galactic plane survey	galaxy-planes
VUDS	ivoa:None
Stars: late-type	late-type-stars
Spire Sources	ivoa:None
HST Archive	hubble-space-telescope 
6dF survey galaxy galaxies redshift redshifts 2MASS	ivoa:None
microlensing	gravitational-microlensing
Infrared, survey, galaxy, point source, KIDS	ivoa:None
Stellarium,simulation	ivoa:None
cone search	ivoa:None
authority	ivoa:None
virtual astronomy	virtual-observatories
spectroscopic observations	spectroscopy
Proposal	ivoa:None
deep field survey	sky-surveys
Semantics	ivoa:None
Astrometric data	astrometry
Spacecraft Pointing	ivoa:TryAgain
Reference systems: stars: general	astronomical-coordinate-systems
Digital Images	direct-imaging
tap	ivoa:None
Galaxies: active	active-galaxies
WiggleZ Project Data	ivoa:None
TAP_SCHEMA	ivoa:None
VHE sources	gamma-ray-sources
Survey, Catalogue, Quasar	ivoa:None
Simulations	astronomical-simulations
Kinematics	stellar-kinematics
Radio	radio-sources
surface brightness galaxies catalog	surface-photometry
K-12	ivoa:None
NEAR EARTH ASTEROIDS	near-earth-objects
MGC B-band Galaxy Survey	ivoa:None
zCOSMOS	ivoa:None
Solar data SOHO EIT CDS Yohkoh	ivoa:None
Infrared, FITS, research, WISE, All-Sky	ivoa:None
mass spectra	mass-spectrometry
Plasmas	space-plasmas
Atmospheric profiles	atmospheric-science
Infrared point-source survey	infrared-sources
Sloan Digital Sky Survey	ivoa:None
Profile	ivoa:None
Object	ivoa:None
ROSAT	x-ray-astronomy
survey, Twomass, galaxy, redshift	ivoa:None
Galaxies: ISM	interstellar-medium
CO2 concentration	ivoa:TryAgain
ATNF Pulsar Observations Parkes	ivoa:None
IR	infrared-astronomy
Astronomical Data Archives	astronomy-databases
Extragalactic Source	extragalactic-astronomy
data model	ivoa:None
Q magnitude	ivoa:TryAgain
3XMM Catalogue	ivoa:None
flare	ivoa:TryAgain
Arches Data	ivoa:None
Astronomical literature	ivoa:TryAgain
infrared, galaxies, stars, survey	ivoa:None
Publication	ivoa:TryAgain
Cool stars	late-type-stars
solar astronomy	the-sun
Ozone concentration	ivoa:TryAgain
Photons	ivoa:None
satellite	artificial-satellites
biology	exobiology
and Infrared Astronomy	ivoa:None
Galaxies: halos	galaxy-stellar-halos
hec r3 service details	ivoa:None
Selection function	ivoa:TryAgain
Solar data on events	the-sun
Dust	astrophysical-dust-processes
Catalog of echelle spectra	spectroscopy
PDR	ivoa:None
Chianti Atomic Data	ivoa:None
SDSS	surveys
CV	cataclysmic-variable-stars
Digitised photographic Schmidt field test photometry astrometry	ivoa:None
near-infrared photometric galaxies catalog	galaxy-photometry
Seyfert nucleus	seyfert-galaxies
Herschel Space Observatory	space-observatories
Arecibo	radio-astronomy
SNR	supernova-remnants
Abell 1763	galaxy-clusters
Infrared Counterpart	infrared-sources
Validators	ivoa:None
SZCLUSTER-DB	ivoa:None
Faint Images of the Radio Sky at Twenty-cm FIRST	radio-astronomy
infrared	infrared-astronomy
HerSchel IdOc Database	space-observatories
Infrared all-sky survey	infrared-sources
Software tools	astronomy-software
Gamma-ray emission	gamma-ray-astronomy
xray	x-ray-astronomy
SkyMapper Project Data	ivoa:None
Aerosol extinction	atmospheric-extinction
Small bodies	small-solar-system-bodies
astronomy	ivoa:None
Species	chemical-abundances
astrometric catalogues	astrometry
Techniques: high angular resolution	high-angular-resolution
N magnitude	photometry
Synthetic Stellar Spectra	stellar-atmosphers
Galactic Legacy Infrared Mid-Plane Survey GLIMPSE	infrared-astronomy
X-Ray Satellite Astronomy	x-ray-astronomy
Optical Astronomical Images	direct-imaging
ROSAT xray x-ray sources faint bright	ivoa:None
Atmosphere	ivoa:TryAgain
WiggleZ final data release	ivoa:None
WISE all-sky infrared	infrared-astronomy
spectral	spectroscopy
3XMM-DR7 Catalogue	x-ray-astronomy
MCD	ivoa:None
Temperature	effective-temperature
Spitzer Taurus	infrared-astronomy
Terminator	ivoa:TryAgain
galaxy	galaxies
Infrared, survey, galaxy, KIDS	ivoa:None
Radio Counterpart	radio-sources
SETI	search-for-extraterrestrial-intelligence
hinode solar dsa	the-sun
General	ivoa:None
Line: identification	spectral-line-identification
UKIDSS DR8, SIAP, Images	ivoa:None
OMC	ivoa:None
UKIDSS DR11, SIAP, Images	ivoa:None
mass function	stellar-mass-functions
Pan-STARRS	surveys
Specflow, Cassis	ivoa:None
Gaia, DR2, ESA, Archive, ESAC	ivoa:None
Data center	ivoa:None
Mass	ivoa:None
CRISM	ivoa:None
galaxies morphology catalog	galaxy-structure
Photometry Survey data	photometry
green bank	radio-astronomy
UKIDSS DR10, SIAP, Images	ivoa:None
Stars: Abundances	stellar-abundances
CoRoT N2 Public Archive - Stars with rotation periods from Affer and al.	stellar-rotation
Tutorial	software-tutorials
Gravitational arcs	gravitational-lensing
Auroras	aurorae
cme	solar-coronal-mass-ejections
CoRoT	artificial-satellites
observations	ivoa:None
Site testing	ivoa:TryAgain
ISM: abundances	interstellar-abundances
GINCO	ivoa:None
Local star-forming galaxies catalog	star-formation
Standards and Technology	ivoa:None
Survey with Schmidt telescope	survey
Observatoire de la C?te d'Azur	ivoa:None
HELIO, HEC, Event lists	ivoa:None
Fornax cluster	galaxy-clusters
bright stars	ivoa:None
galaxies local density catalog	galaxies
Outreach	ivoa:TryAgain
TEMPERATURE	effective-temperature
STILTS	ivoa:None
ARCHES SEDs	spectral-energy-distribution
stellar spectra	spectroscopy
The multi-frequency radio catalogs, largest non-radio surveys	ivoa:None
solar hinode xrt	ivoa:None
solar RHESSI	ivoa:None
astrogrid VOspace Public service	ivoa:None
UKIDSS DR7, SIAP, Images	ivoa:None
Cosmology and Astrophysics Simulations	astronomical-simulations
Community WFAU	ivoa:None
ultraviolet stellar spectra	ultraviolet-sources
magnetophysics	magnetic-fields
STARS	ivoa:TryAgain
galaxy survey	galaxies
M3	globular-star-clusters
UKIDSS DR4, SIAP, Images	ivoa:None
Spectroscopic analysis	spectroscopy
SSDC Catalogs	ivoa:None
subject	ivoa:None
SPLAT, SSA	ivoa:None
Open skyNode	ivoa:None
MACHO	dark-matter
HEAVENS INTEGRAL images (ISDC)	ivoa:None
Photometry: wide-band	broad-band-photometry
OAI-PMH	ivoa:None
Data extraction	astronomy-software
SkyMapper	ivoa:None
geology, surface, topography	ivoa:None
stellar astrophysics	ivoa:TryAgain
IUE	ultraviolet-astronomy
planetary observations, pointed solar instruments, H-alpha Network	ivoa:None
TNO	trans-neptunian-objects
HiPS	ivoa:None
TGAS	ivoa:None
DESAlert	ivoa:None
GTC, SIAP, Images	ivoa:None
survey catalogue galaxies quasar	ivoa:None
Techniques: photometric	photometry
MAGIC Public Data	ivoa:None
World Data Center for Astronomy	ivoa:None
HEASARC/SkyView Hierarchical Progressive Surveys	ivoa:None
Community Web Application	ivoa:None
MyExperiment Search	ivoa:None
HELIO, HFC, Feature lists	ivoa:None
Stars: Magnetic fields	stellar-magnetic-fields
Asiago	ivoa:None
3XMM Enhanced Catalogue	ivoa:None
SIMBAD	ivoa:None
COROT N2	ivoa:None
AMR	ivoa:None
optical	optical-observation
INTEGRAL	gamma-ray-astronomy
ASDC-VO	ivoa:None
SAI	ivoa:None
Historical plate	history-of-astronomy
grb	gamma-ray-bursts
LMC and SMC	magellanic-clouds
BL Lac	bl-lacertae-objects
URI	ivoa:None
radio	radio-astronomy
3XMM DR4 Catalogue	ivoa:None
DISTANCE	ivoa:TryAgain
optical photometric galaxies catalog	galaxy-photometry
bound-bound and bound-free absorption cross-sections of iron-group elements (Ca - Ni)	atomic-physics
6dF Data Release 3 Spectra	ivoa:None
CoRoT N2 Public Archive - Stars with rotation periods from de Medeiros et al	stellar-rotation
Optical Images Archive	optical-observation
Time measurement	ivoa:TryAgain
Gaia DR2	ivoa:None
Atomic data	atomic-physics
solar disc	solar-physics
Automatic Unsupervised Classification of all SDSS/DR7 Galaxy Spectra	ivoa:None
Positional data	astrometry
Quasars: emission lines	quasars
ISM:general	interstellar-medium
Exoplanet data and data services.	exoplanets
gas exchange	pre-biotic-astrochemistry
Astro Services at Swinburne	ivoa:None
CoRoT N2 Public Archive - Confirmed Planet	exoplanets
Stars: Binary	binary-stars
solar lasco	ivoa:None
HELIO, CXS, on-the-fly plotting	ivoa:None
Green Bank	radio-astronomy
Xmatched Arches Catalogue	ivoa:None
Time Series	time-series-analysis
stars: evolution	stellar-evolution
solar eit	ivoa:None
VOSpec	ivoa:None
INES	ivoa:None
XMM SUSS	ivoa:None
standards	ivoa:None
HLA Images	ivoa:None
2XMM Catalogue	ivoa:None
solar soho-mdi	ivoa:None
labeled release	ivoa:None
stucture	ivoa:None
CEA Applications	ivoa:None
ESDC ESASky HiPS service	ivoa:None
Ultraviolet Images	ultraviolet-astronomy
Data Collection	ivoa:None
Compilation of 1D spectra	ivoa:None
The Galaxy, Galaxy: structure, Galaxy: disk, Galaxy: bulge, Galaxy: halo, Galaxy: stellar content, Galaxy: kinematics and dynamics	ivoa:None
USGS WMS	ivoa:None
SSAP	ivoa:None
OPTICAL	optical-observation
helio	the-sun
raw data archive	ivoa:None
Registry Discovery	ivoa:None
Lyman Alpha	lyman-alpha-forest
Binary and Multiple Stars	binary-stars
Publisher of astronomy and virtual observatory services and data archives hosted or maintained at NCI.	ivoa:None
2XMMi DR3 Catalogue	ivoa:None
BL Lacertae	bl-lacertae-objects
Stars, fundamental	standard-stars
solar images trace	the-sun
UKIDSS DR9, SIAP, Images	ivoa:None
magnetospheric physics	astrophysical-magnetism
VOSpace	ivoa:None
CoRoT N2 Public Archive - Red Giants	ivoa:None
Infrared, Spitzer, FITS, research	ivoa:None
galaxies SFR metallicity extinction mass catalog	ivoa:None
extragalactic	extragalactic-astronomy
solar Stereo_A SECCHI EUVI	ivoa:None
Coronographs	solar-corona
EPIC spectra of 3XMM-DR7 sources	ivoa:None
expanding stellar atmospheres, radiation transfer	ivoa:None
Binary and multiple stars	binary-stars
Zeus	ivoa:None
Stars: evolution	stellar-evolution
ISO Infrared Astronomical Spectroscopic Database (IASD) Slap Service	ivoa:None
HELIO, CTS, coordinate transformation	ivoa:None
HESIOD	ivoa:None
Orbit Calculation	orbit-determination
Molecular Line	molecular-spectroscopy
Chemical composition	stellar-chemical-composition
ambient measurements	ivoa:None
time-series data, AMDA	ivoa:None
Solar Orbits	ivoa:None
galaxies redshift catalog	redshift-surveys
Herbig AeBe	herbig-ae-be-stars
Extra-galactic stars	extragalactic-astronomy
neutrino	neutrino-astronomy
KUG	ivoa:None
Metadata modeling	ivoa:None
VHS DR1, SIAP, Images	ivoa:None
archives	ivoa:TryAgain
surveys, spectroscopy	ivoa:None
UKIDSS DR6, SIAP, Images	ivoa:None
HEAVENS light curves (ISDC - Data Centre for Astrophysics)	ivoa:None
fluxes	photometry
HELIO, HPS, processing capability access	ivoa:None
Hubble, Variable, HST, eHST, ESA, Archive, ESDC, ESAC	ivoa:None
Infrared Sky Survey	infrared-sources
Atlases	ivoa:TryAgain
Calar Alto Observatory, SIAP, Images	ivoa:None
velocity moments	ivoa:TryAgain
Milky way	milky-way-galaxy
space plasmas physics data repository	ivoa:None
CCD photometry, sky survey, CCD observation	ivoa:None
SIMBAD, Vizier, Aladin	ivoa:None
line idenification	spectral-line-identification
Northern Galactic Planetary Nebulae images	ivoa:None
Gaia DR1	ivoa:None
time-series data, flare locations, Parker model	ivoa:None
agn	active-galactic-nuclei
vospace myspace	ivoa:None
SuperCOSMOS Sky Surveys SSS, SIAP, scans of UKST Bj, R, I, H-alpha, short-red, field 287, POSSI-e, POSSII Bj, R and I	ivoa:None
CoRoT N2 Public Archive - Bright stars	ivoa:None
obcp	ivoa:None
standard language identifiers	ivoa:None
Astrometric calibration	photographic-astrometry
Plane polarization	polarimetry
spectrum analyzer	ivoa:None
Gas Exchange	ivoa:None
Mars Express ; SPICAM ; Mars ; Stellar occultation ; Solar occultation ; Atmospheric profiles ; Temperature ; CO2 concentration ; Ozone concentration ; Aerosol extinction	ivoa:None
GOODS Image Cutout Service	ivoa:None
Stellarium	ivoa:None
UKIDSS, SIAP, Images	ivoa:None
